,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,model,power_per_liter,km_per_year
53,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,400.0,5,2800.0,Mercedes-Benz,New,7.932804479701353e-05,4916.666666666667
54,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,200.0,5,3000.0,Tata,Manza,7.115384615384616e-05,8571.42857142857
55,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7,5,4000.0,Hyundai,i10,6.591478696741855e-05,7857.142857142857
56,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,219.6,5,2750.0,Hyundai,i20,6.358166189111748e-05,5000.0
57,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,14700.0
58,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,112.0,5,4000.0,Ford,Figo,7.25752508361204e-05,3125.0
59,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,4000.0,Maruti,Baleno,6.94235588972431e-05,5000.0
60,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,250.0,5,3000.0,Volkswagen,Ameo,7.242656875834447e-05,4444.444444444444
61,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5,1750.0,Honda,City,6.58210947930574e-05,13500.0
62,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5,3500.0,Maruti,Wagon,6.713426853707414e-05,4285.714285714285
63,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,250.0,5,3000.0,Volkswagen,Ameo,7.251001335113485e-05,10000.0
64,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,200.0,5,1750.0,Maruti,Vitara,7.091346153846153e-05,1641.6666666666667
65,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,7777.777777777777
66,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,343.0,7,3400.0,Toyota,Fortuner,5.650570087189805e-05,7800.0
67,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,10000.0
68,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7,4000.0,Maruti,Ertiga,6.824471959213401e-05,9230.76923076923
69,2003,70000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Tata,Indica,6.559294871794872e-05,3181.818181818182
70,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250.0,5,2500.0,Volkswagen,Vento,6.483103879849812e-05,14166.666666666666
71,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,8,3600.0,Toyota,Innova,4.033680834001604e-05,15555.555555555555
72,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,205.0,5,3250.0,Ford,EcoSport,6.581441922563418e-05,9000.0
73,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,280.0,5,4600.0,BMW,X1,9.45945945945946e-05,3333.3333333333335
74,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,90.0,5,3500.0,Maruti,Celerio,6.717434869739479e-05,1250.0
75,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,104.0,5,4000.0,Datsun,GO,5.596828046744574e-05,5444.444444444444
76,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,3500.0,Maruti,Alto,5.942211055276382e-05,3555.5555555555557
77,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,3500.0,Maruti,Alto,5.942211055276382e-05,4222.222222222223
78,2015,78000,Diesel,Dealer,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Swift,6.559294871794872e-05,7800.0
79,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,99.04,5,4500.0,Hyundai,i10,6.266114180478821e-05,2153.846153846154
80,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,59.820564999999995,5,3000.0,Maruti,Omni,4.396984924623116e-05,4000.0
81,2010,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,77.0,5,3500.0,Maruti,Wagon,5.8316633266533066e-05,2933.3333333333335
82,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,110.0,5,3750.0,Volkswagen,Polo,6.17696160267112e-05,4200.0
83,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,99.04,5,4500.0,Hyundai,i10,6.266114180478821e-05,4500.0
84,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,153.0,5,3800.0,Volkswagen,Vento,6.483103879849812e-05,923.0769230769231
85,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,90.0,5,3500.0,Maruti,Zen,6.723446893787574e-05,3468.75
86,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,113.7,5,4000.0,Hyundai,i20,6.921470342522974e-05,5125.0
87,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,16666.666666666668
88,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,114.0,5,4000.0,Hyundai,Xcent,6.850459482038429e-05,8000.0
89,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,4000.0
90,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,Hyundai,i20,6.356017191977077e-05,13750.0
91,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,90.0,5,3500.0,Maruti,Wagon,6.718436873747495e-05,4812.5
92,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,200.0,5,3000.0,Tata,Manza,7.211538461538461e-05,6666.666666666667
93,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,1666.6666666666667
94,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,4000.0,Maruti,Baleno,6.94235588972431e-05,5000.0
95,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,290.0,8,2800.0,Mahindra,Scorpio,5.5071133547498853e-05,6363.636363636364
96,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,120.0,5,4250.0,Ford,Freestyle,7.92964824120603e-05,1000.0
97,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,4850.0,Hyundai,Verna,7.624135763670648e-05,4725.0
98,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,250.0,5,4500.0,Volkswagen,Passat,8.898776418242492e-05,7600.0
99,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,360.0,7,2800.0,Mahindra,XUV500,7.113354749885269e-05,5333.333333333333
100,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,2500.0,Tata,Indigo,4.9117437722419926e-05,11111.111111111111
101,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8,5,2750.0,Hyundai,Verna,7.984829329962073e-05,12500.0
102,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,219.6,5,2750.0,Hyundai,i20,6.358166189111748e-05,5750.0
103,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,173.0,5,4000.0,Toyota,Corolla,7.68075639599555e-05,6250.0
104,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,90.0,5,3500.0,Maruti,Celerio,6.717434869739479e-05,2600.0
105,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,Maruti,Vitara,7.091346153846153e-05,6666.666666666667
106,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5,4000.0,Maruti,Swift,6.945697577276525e-05,5000.0
107,2010,120000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Swift,6.559294871794872e-05,8000.0
108,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,200.0,5,1900.0,Nissan,Terrano,5.735797399041752e-05,6363.636363636364
109,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,Hyundai,Creta,7.97724399494311e-05,5555.555555555556
110,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,190.0,5,2000.0,Maruti,Swift,5.921474358974359e-05,13461.538461538461
111,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,4250.0,Renault,KWID,6.706706706706707e-05,3571.4285714285716
112,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,90.0,5,3500.0,Maruti,Celerio,6.717434869739479e-05,4000.0
113,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,3823.529411764706
114,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,96.1,5,3000.0,Hyundai,Santro,5.718232044198895e-05,5000.0
115,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7,1750.0,Maruti,Ertiga,7.112179487179488e-05,11000.0
116,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,109.0,5,4500.0,Honda,Amaze,7.237061769616027e-05,217.16666666666666
117,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,400.0,5,3000.0,Audi,Q5,9.552845528455285e-05,4542.857142857143
118,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,5200.0,Lexus,ES,8.627261761158021e-05,3333.3333333333335
119,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,2500.0,Jaguar,XF,8.854427213606805e-05,5625.0
120,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,382.0,7,2250.0,Land,Rover,7.419209604802401e-05,3500.0
121,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,620.0,5,2400.0,Mercedes-Benz,S-Class,8.529963173752928e-05,4625.0
122,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,400.0,5,2500.0,BMW,5,9.410526315789475e-05,4214.285714285715
123,2017,27000,Diesel,Dealer,Automatic,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,BMW,X1,6.559294871794872e-05,3375.0
124,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,2500.0,BMW,X4,9.523809523809523e-05,1250.0
125,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,250.0,5,5000.0,Skoda,Superb,9.869855394883203e-05,7142.857142857143
126,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,500.0,5,1800.0,Mercedes-Benz,E-Class,9.519365375641624e-05,3888.8888888888887
127,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,250.0,5,3600.0,MG,Hector,9.717436250861475e-05,3166.6666666666665
128,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173.0,5,4000.0,Toyota,Corolla,7.67686318131257e-05,3250.0
129,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,400.0,5,3000.0,Volvo,XC40,9.649568308786186e-05,3142.8571428571427
130,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,550.0,7,2750.0,Audi,Q7,8.136164475901585e-05,5300.0
131,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,200.0,5,1750.0,Maruti,Ciaz,7.091346153846153e-05,4000.0
132,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,490.0,5,1600.0,Mercedes-Benz,S-Class,9.440910612654837e-05,5875.0
133,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,250.0,5,2750.0,BMW,5,6.0072086503804564e-05,4813.333333333333
134,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5,2500.0,Jaguar,XE,8.854427213606805e-05,1125.0
135,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,170.0,5,4000.0,Tata,Nexon,9.056761268781302e-05,1571.4285714285713
136,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,153.0,5,3800.0,Volkswagen,Vento,6.483103879849812e-05,3500.0
137,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,177.5,5,4700.0,Hyundai,Elantra,8.208124652198108e-05,7307.692307692308
138,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,3800.0,Skoda,Rapid,6.476846057571965e-05,1222.2222222222222
139,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,300.0,5,4000.0,Mercedes-Benz,CLA,9.191361125062783e-05,2571.4285714285716
140,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,300.0,5,1400.0,Mercedes-Benz,New,9.092918131592165e-05,2000.0
141,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,146.0,5,4800.0,Honda,City,7.768871075484302e-05,2250.0
142,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,113.0,5,4200.0,Toyota,Glanza,6.83375104427736e-05,1609.0
143,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5,3500.0,Maruti,Alto,6.718436873747495e-05,785.7142857142857
144,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,1869.2307692307693
145,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,260.0,5,2750.0,Tata,Nexon,7.247828991315965e-05,1142.857142857143
146,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,400.0,5,2500.0,BMW,3,9.523809523809523e-05,3333.3333333333335
147,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,4500.0,Toyota,Camry,6.323175621491579e-05,4555.555555555556
148,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,400.0,5,2500.0,BMW,5,9.523809523809523e-05,1333.3333333333333
149,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,224.0,5,4000.0,Toyota,Camry,6.972904318374257e-05,4437.5
150,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,130.0,7,4000.0,Maruti,Ertiga,6.63510560815732e-05,2222.222222222222
151,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,640.0,4,1740.0,Volvo,XC90,0.00020314880650076182,3750.0
152,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,4000.0,Ford,Figo,7.25752508361204e-05,1357.142857142857
153,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160.0,5,2000.0,Ford,Figo,4.860614724803431e-05,8571.42857142857
154,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,3660.0
155,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,90.0,5,3500.0,Maruti,Wagon,6.713426853707414e-05,5000.0
156,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,114.7,5,4000.0,Hyundai,i20,6.836257309941521e-05,1555.5555555555557
157,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,2500.0,Maruti,800,4.648241206030151e-05,1538.4615384615386
158,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113.0,5,4500.0,Maruti,Ritz,5.921474358974359e-05,8000.0
159,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114.0,5,4000.0,Hyundai,Grand,6.850459482038429e-05,7000.0
160,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,95.0,5,4300.0,Volkswagen,Ameo,7.507507507507507e-05,2166.6666666666665
161,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,114.0,5,4000.0,Maruti,Swift,7.167919799498747e-05,3181.818181818182
162,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,114.0,5,4000.0,Hyundai,Xcent,6.850459482038429e-05,4888.888888888889
163,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,128.46711499999998,5,4600.0,Honda,City,6.697923643670463e-05,6000.0
164,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,205.0,5,2800.0,Toyota,Corolla,6.392961876832845e-05,4000.0
165,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,71.0,5,3500.0,Daewoo,Matiz,6.658291457286432e-05,2400.0
166,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,343.0,7,3400.0,Toyota,Fortuner,5.650570087189805e-05,2727.2727272727275
167,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,115.0,6,3600.0,Mahindra,KUV,6.844741235392321e-05,1666.6666666666667
168,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190.0,5,3000.0,Tata,Zest,5.929487179487179e-05,11250.0
169,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146.0,5,4800.0,Honda,City,7.882431529726119e-05,2937.5
170,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,78.0,5,4500.0,Maruti,Zen,6.0422960725075535e-05,4500.0
171,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,115.0,5,3200.0,Hyundai,Getz,6.189410887397464e-05,4300.0
172,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,200.0,5,1750.0,Maruti,Ciaz,7.091346153846153e-05,4625.0
173,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,114.0,5,3500.0,Tata,Tigor,7.005838198498748e-05,2333.3333333333335
174,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7,1750.0,Maruti,Ertiga,7.112179487179488e-05,7000.0
175,2012,120000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Toyota,Etios,6.559294871794872e-05,9230.76923076923
176,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,145.0,5,4600.0,Honda,City,7.83567134268537e-05,5000.0
177,2016,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,77.0,5,3500.0,Maruti,Wagon,5.8276553106212424e-05,5555.555555555556
178,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5,4000.0,Maruti,Swift,6.945697577276525e-05,6250.0
179,2003,90000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Omni,6.559294871794872e-05,4090.909090909091
180,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5,3500.0,Maruti,Wagon,6.713426853707414e-05,5000.0
181,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,Maruti,Swift,6.83375104427736e-05,2500.0
